id,category,prompt,question,equipment_problem,answer,tools_required,steps,safety_info,tips,incomplete_answer,safety_violations,unrealistic_tools,overcomplicated_solution,missing_context,poor_quality_tips,overall_failed,quality_answer_coherence,quality_step_actionability,quality_tool_realism,quality_safety_specificity,quality_tip_usefulness,quality_problem_answer_alignment,quality_appropriate_scope,quality_category_accuracy,notes
23,electrical,"System prompt:
You are a diy electrical expert (outlet replacement, switch repair, light fixture installation, etc.). Provide onlly repairs that can be safely performed by a home owner.

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I replace a faulty light switch that doesn't turn the light on or off?"",
  ""What steps should I follow to safely replace a damaged electrical outlet in my living room?"",
  ""What is the procedure to install a new ceiling light fixture in a dining room with existing wiring?"",
  ""How can I fix a kitchen outlet that sparks when plugging in appliances?""
]",How can I troubleshoot and fix a bathroom outlet that has stopped working but other outlets in the room work fine?,Bathroom outlet not working while others work,"First, check if the outlet is controlled by a GFCI outlet elsewhere in the bathroom or nearby. Press the reset button on the GFCI. If it doesn't reset, or there is no GFCI outlet, turn off power, remove the outlet cover, and inspect for loose wiring. Tighten any loose connections. Replace the outlet if it appears damaged. Finally, restore power and test the outlet.","[""Screwdriver"", ""Voltage tester"", ""Wire stripper""]","[""1. Identify if the outlet is connected to a GFCI outlet elsewhere and press the reset button on the GFCI."", ""2. Turn off the power to the outlet at the circuit breaker panel."", ""3. Remove the outlet cover and use a voltage tester to ensure power is off."", ""4. Inspect wiring for loose connections and tighten if necessary."", ""5. Replace the outlet if any damage is found."", ""6. Replace the outlet cover and turn power back on."", ""7. Test the outlet to confirm it is working.""]",Always turn off power at the circuit breaker before working on electrical outlets and use a voltage tester to confirm no power is present. Avoid touching bare wires and keep hands dry.,"[""Label circuit breakers before turning off to avoid confusion."", ""Use outlet testers to quickly diagnose wiring issues."", ""Replace older two-prong outlets with three-prong grounded outlets for safety if possible.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,hvac,"System prompt:
You are a diy HVAC repair expert (filter changes, thermostat issues, vent cleaning, basic troubleshooting).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""My living room air vents have accumulated a lot of dust and debris, and airflow seems weaker than usual. How can I clean the vents effectively to improve air quality and flow?"",
  ""The air coming from my HVAC vents has a strange musty smell. How can I identify and fix the source of the odor?"",
  ""I've noticed that some rooms in my house are cooler than others even when the HVAC is running. How can I troubleshoot and fix uneven heating and cooling in my home?"",
  ""The thermostat in my hallway keeps displaying an error message and the HVAC system won't turn on. What steps can I take to troubleshoot and resolve this thermostat issue?""
]","My HVAC system has suddenly stopped blowing air from the vents altogether, even though the system seems to be running. What could be causing this and how can I fix it?",HVAC system running with no airflow from vents,"If your HVAC system is running but no air is coming from the vents, possible causes include a clogged air filter, a blower motor failure, or a tripped circuit breaker for the blower. First, check and replace the air filter if it is dirty. If that doesn't work, inspect the blower motor and ensure it is receiving power. Finally, check your home's electrical panel to reset any tripped breakers related to the HVAC blower.","[""Screwdriver"", ""Replacement air filter"", ""Flashlight"", ""Multimeter""]","[""1. Turn off the HVAC system and locate the air filter, typically near the return air vent or furnace."", ""2. Remove the air filter and check if it is dirty or clogged; replace it with a new one if necessary."", ""3. Turn the HVAC system back on and check if air is blowing from the vents."", ""4. If no air flows, turn off the system and access the blower motor housing."", ""5. Use a flashlight to inspect the blower motor for any visible signs of damage or loose wires."", ""6. Use a multimeter to check for electrical power to the blower motor."", ""7. If there is no power, check your home's circuit breaker panel for any tripped breakers and reset them if found."", ""8. If the blower motor is powered but not running, it may need professional repair or replacement.""]",Always turn off power to the HVAC system before inspecting or replacing parts to avoid electrical shock or injury. Use caution when working near electrical components and consult a professional if unsure.,"[""Replace air filters regularly every 1-3 months to maintain airflow."", ""Keep the area around the furnace and blower motor clean to prevent dust buildup."", ""If you are uncomfortable working with electrical components, call a professional HVAC technician."", ""Regular HVAC maintenance can help prevent blower and airflow issues.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,general,"System prompt:
You are a general home repair diyy expert (drywall, doors/windows, flooring, basic carpentry).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How can I fix a sticking interior wooden door that won't close properly?"",
  ""How do I repair a small hole in my drywall caused by a doorknob?"",
  ""What is the best way to fix a warped exterior wooden door that doesn't seal properly against the frame?"",
  ""What steps should I take to replace a cracked window pane in my living room?""
]",My bathroom door squeaks loudly every time I open or close it. How can I fix this issue?,Squeaky door hinges causing loud noise when opening or closing the door,"To fix a squeaky bathroom door, you need to lubricate the hinges. First, clean the hinge pins by removing them if possible and wiping away old grease and dirt. Then, apply a lubricant such as WD-40 or silicone spray to the hinge pins and reassemble the hinge. This should stop the squeaking.","[""Screwdriver"", ""WD-40 or silicone spray lubricant"", ""Rag or cloth"", ""Hammer (optional)""]","[""1. Open the door and use a screwdriver to remove the hinge pins carefully if possible."", ""2. Clean the hinge pins and hinge barrels using a rag to remove old grease and dirt."", ""3. Apply WD-40 or silicone spray liberally on the hinge pins and inside the hinge barrels."", ""4. Reinsert the hinge pins back into place. Tap gently with a hammer if necessary to secure them."", ""5. Open and close the door a few times to distribute the lubricant evenly and check if the squeak is gone.""]",Be careful when removing hinge pins as they can fall and cause injury. Use tools properly and avoid inhaling lubricant fumes by working in a well-ventilated area.,"[""Use silicone spray for a longer-lasting lubricant effect compared to WD-40."", ""If the hinge pins are rusty or damaged, consider replacing them entirely."", ""Regular maintenance and lubrication of door hinges can prevent squeaking in the future.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,appliance,"System prompt:
You are a DIY appliance repair expert (refrigerators, washers, dryers, etc.). 

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""Why is my washing machine making a loud banging noise during the spin cycle?"",
  ""What should I do if my dryer stops heating but still runs the drum?"",
  ""How can I fix a refrigerator that is running but not cooling properly?"",
  ""How do I troubleshoot a dishwasher that fills with water but doesn't drain after the cycle ends?"",
  ""What steps can I take if my dryer drum isn't turning at all, but the dryer still powers on?""
]",What can I do if my washing machine leaks water from the bottom during the wash cycle?,Washing machine leaks water from the bottom during the wash cycle,"If your washing machine is leaking water from the bottom during the wash cycle, the likely issues are a damaged door seal, a loose or cracked hose, or a faulty water pump. First, unplug the machine and inspect the door seal for tears or debris. Next, check hoses for cracks or loose connections and tighten or replace them if needed. Finally, examine the water pump for damage or leaks and replace it if necessary.","[""Screwdriver"", ""Pliers"", ""Towel"", ""Bucket""]","[""1. Unplug the washing machine to ensure safety."", ""2. Place towels and a bucket under the washing machine to catch any leaking water."", ""3. Open the washing machine door and inspect the door seal for any tears, holes, or debris; clean or replace the seal if damaged."", ""4. Locate and inspect the water inlet and drain hoses for cracks, holes, or loose connections; tighten any loose clamps or replace hoses if damaged."", ""5. Access the water pump by removing the back panel using the screwdriver; check for cracks or water leaks and replace the pump if necessary."", ""6. Reassemble any removed panels and test the machine with a short cycle to confirm the leak is fixed.""]",Always unplug the washing machine before inspecting or repairing to prevent electric shock. Handle tools carefully and avoid contact with any water spill to reduce the risk of slipping or electrical hazards.,"[""Keep towels handy to quickly soak up water leaks during inspection."", ""Take pictures of hose connections before disassembly to help with reassembly."", ""If replacing parts, use manufacturer-recommended components for compatibility.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,Plumbing,"System prompt:
You are a DIY plumbing expert (leaks, clogs, fixture repairs, pipe problems, etc.).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I stop my bathroom sink from leaking underneath when I turn on the faucet?"",
  ""What should I do if my kitchen faucet is dripping continuously even when it's turned off?"",
  ""What are the steps to fix a clogged drain in my bathroom sink that water is draining very slowly from?"",
  ""What can I do to fix a leaking shower valve that causes water to drip even when the shower is off?"",
  ""How can I repair a toilet that keeps running after flushing and doesn\u2019t stop on its own?""
]",How can I fix a kitchen sink faucet that makes a loud screeching noise when I turn it on?,Noisy kitchen sink faucet due to worn out washers or cartridge,"The screeching noise from your kitchen sink faucet is usually caused by worn out or damaged washers or cartridges inside the faucet. To fix this, you need to disassemble the faucet, inspect the washers or cartridge, and replace the faulty parts. After replacement, reassemble the faucet and test for noise.","[""adjustable wrench"", ""screwdriver"", ""replacement washers or cartridge"", ""plumber's grease""]","[""1. Turn off the water supply to the sink."", ""2. Remove the handle of the faucet using a screwdriver or Allen wrench, depending on your faucet model."", ""3. Use an adjustable wrench to loosen and remove the packing nut and stem to access the washers or cartridge."", ""4. Inspect the washers or cartridge for signs of wear, cracks, or damage."", ""5. Replace the worn or damaged washers or cartridge with new ones."", ""6. Apply plumber's grease on the new washers or cartridge for smooth operation."", ""7. Reassemble the faucet by reversing the removal steps."", ""8. Turn on the water supply and test the faucet for noise.""]",Ensure the water supply is completely turned off before disassembling the faucet to prevent water damage. Use tools carefully to avoid injury.,"[""Take a photo of the faucet assembly before disassembly to help with reassembly."", ""Use plumber's grease to extend the life of washers and moving parts."", ""If unsure about the type of replacement parts, take the old part to a hardware store for matching.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,electrical,"System prompt:
You are a diy electrical expert (outlet replacement, switch repair, light fixture installation, etc.). Provide onlly repairs that can be safely performed by a home owner.

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I replace a faulty light switch that doesn't turn the light on or off?"",
  ""What steps should I follow to safely replace a damaged electrical outlet in my living room?"",
  ""What is the procedure to install a new ceiling light fixture in a dining room with existing wiring?"",
  ""How can I fix a kitchen outlet that sparks when plugging in appliances?"",
  ""How can I troubleshoot and fix a bathroom outlet that has stopped working but other outlets in the room work fine?""
]",How do I safely install a dimmer switch to replace a standard light switch in my bedroom?,Replacing a standard light switch with a dimmer switch.,"To install a dimmer switch, first turn off the power at the circuit breaker. Remove the existing switch cover and unscrew the switch from the box. Disconnect the wires from the old switch. Connect the wires to the dimmer switch according to the manufacturer's instructions, usually matching colors (black to black, white to white, ground to ground). Secure the dimmer switch back into the box, attach the cover plate, and turn the power back on. Test the dimmer to ensure it controls the light properly.","[""screwdriver"", ""voltage tester"", ""wire stripper"", ""electrical tape""]","[""1. Turn off power to the switch at the circuit breaker."", ""2. Remove the switch cover plate using a screwdriver."", ""3. Use a voltage tester to confirm no power is present at the switch."", ""4. Unscrew and carefully pull out the existing switch from the electrical box."", ""5. Disconnect the wires from the old switch, noting their positions."", ""6. Use the wire stripper to strip wire ends if necessary."", ""7. Connect the dimmer switch wires to the house wiring, matching colors as per instructions."", ""8. Secure the dimmer switch into the electrical box with screws."", ""9. Replace the switch cover plate."", ""10. Restore power at the circuit breaker and test the dimmer switch operation.""]","Always ensure the power is turned off at the circuit breaker before starting work to avoid electrical shock. Use a voltage tester to verify no current is present. If you are uncomfortable handling electrical wiring, consult a licensed electrician.","[""Label wires before disconnecting for easier reconnection."", ""Follow the dimmer switch manufacturer's wiring diagram closely."", ""Do not force wires into terminals; strip wires properly for secure connections."", ""Use electrical tape on wire nuts for added safety."", ""If the dimmer switch is not compatible with the type of bulbs, it may cause flickering or damage.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,hvac,"System prompt:
You are a diy HVAC repair expert (filter changes, thermostat issues, vent cleaning, basic troubleshooting).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""My living room air vents have accumulated a lot of dust and debris, and airflow seems weaker than usual. How can I clean the vents effectively to improve air quality and flow?"",
  ""The air coming from my HVAC vents has a strange musty smell. How can I identify and fix the source of the odor?"",
  ""I've noticed that some rooms in my house are cooler than others even when the HVAC is running. How can I troubleshoot and fix uneven heating and cooling in my home?"",
  ""The thermostat in my hallway keeps displaying an error message and the HVAC system won't turn on. What steps can I take to troubleshoot and resolve this thermostat issue?"",
  ""My HVAC system has suddenly stopped blowing air from the vents altogether, even though the system seems to be running. What could be causing this and how can I fix it?""
]",How do I replace the clogged air filter in my HVAC system to restore proper airflow?,Clogged air filter reducing airflow,"To replace the clogged air filter, first turn off the HVAC system. Locate the filter compartment, remove the old filter, and dispose of it. Insert a new filter with the airflow arrows pointing in the correct direction, then close the compartment and turn the system back on.","[""Replacement air filter"", ""Screwdriver (if needed)""]","[""1. Turn off the HVAC system to ensure safety."", ""2. Locate the air filter compartment, usually found near the blower unit or return air duct."", ""3. Remove the old air filter by sliding it out carefully."", ""4. Check the size and type indicated on the old filter to purchase the correct replacement."", ""5. Insert the new air filter into the compartment, ensuring the airflow arrows point in the correct direction."", ""6. Close the filter compartment securely."", ""7. Turn the HVAC system back on and check for improved airflow.""]",Always turn off the HVAC system before handling the filter to avoid injury or damage to the system.,"[""Mark the date of filter replacement on the new filter to keep track of maintenance."", ""Consider using a high-quality filter to improve air quality and system efficiency."", ""Replace air filters every 1-3 months depending on usage and environment.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,general,"System prompt:
You are a general home repair diyy expert (drywall, doors/windows, flooring, basic carpentry).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How can I fix a sticking interior wooden door that won't close properly?"",
  ""How do I repair a small hole in my drywall caused by a doorknob?"",
  ""What is the best way to fix a warped exterior wooden door that doesn't seal properly against the frame?"",
  ""What steps should I take to replace a cracked window pane in my living room?"",
  ""My bathroom door squeaks loudly every time I open or close it. How can I fix this issue?""
]",How can I fix a drywall crack that has appeared above a window frame in my living room?,Drywall crack above window frame,"To fix a drywall crack above a window frame, start by cleaning the area and removing any loose debris. Then, apply drywall tape over the crack and cover it with joint compound. Sand the area smooth once the compound is dry, and finally repaint to match the wall.","[""putty knife"", ""drywall tape"", ""joint compound"", ""sandpaper"", ""paintbrush"", ""paint""]","[""1. Clean the cracked area and remove any loose drywall or debris."", ""2. Apply drywall tape over the crack to reinforce it."", ""3. Spread a layer of joint compound over the tape using a putty knife."", ""4. Allow the joint compound to dry completely, usually 24 hours."", ""5. Sand the dried compound smooth with sandpaper."", ""6. Wipe away dust and repaint the repaired area to match the surrounding wall.""]","Wear a dust mask when sanding to avoid inhaling drywall dust, and use proper ventilation when painting.","[""Use a wide putty knife for smoother application of joint compound."", ""Apply multiple thin layers of compound if needed to avoid lumps."", ""Match paint color closely for a seamless repair.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,appliance,"System prompt:
You are a DIY appliance repair expert (refrigerators, washers, dryers, etc.). 

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""Why is my washing machine making a loud banging noise during the spin cycle?"",
  ""What should I do if my dryer stops heating but still runs the drum?"",
  ""How can I fix a refrigerator that is running but not cooling properly?"",
  ""How do I troubleshoot a dishwasher that fills with water but doesn't drain after the cycle ends?"",
  ""What steps can I take if my dryer drum isn't turning at all, but the dryer still powers on?"",
  ""What can I do if my washing machine leaks water from the bottom during the wash cycle?""
]",What should I do if my refrigerator's ice maker has stopped producing ice completely?,Refrigerator ice maker not producing ice,"First, check if the ice maker is turned on and the freezer temperature is set correctly. Then inspect the water supply line for any kinks or blockages. If those are fine, try resetting the ice maker by turning it off and on. If the problem persists, you may need to replace the water inlet valve or the ice maker assembly.","[""Screwdriver"", ""Multimeter"", ""Wrench""]","[""1. Confirm the ice maker is switched on and freezer temperature is between 0-5°F (-18 to -15°C)."", ""2. Examine the water supply line for kinks or blockages and straighten or clear if needed."", ""3. Reset the ice maker by turning it off for 5 minutes, then back on."", ""4. If no improvement, unplug the refrigerator and remove the ice maker cover to access the water inlet valve."", ""5. Use a multimeter to test the water inlet valve for continuity and replace if faulty."", ""6. Reassemble the ice maker and run a test cycle to verify ice production.""]",Always unplug the refrigerator before attempting any internal repairs to avoid electrical shock. Handle sharp components carefully.,"[""Keep the freezer door closed as much as possible to maintain proper temperature for ice production."", ""Regularly check and clean the water filter if your model has one to ensure good water flow."", ""If comfortable, consult your appliance manual for specific parts diagrams and instructions.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,Plumbing,"System prompt:
You are a DIY plumbing expert (leaks, clogs, fixture repairs, pipe problems, etc.).

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I stop my bathroom sink from leaking underneath when I turn on the faucet?"",
  ""What should I do if my kitchen faucet is dripping continuously even when it's turned off?"",
  ""What are the steps to fix a clogged drain in my bathroom sink that water is draining very slowly from?"",
  ""What can I do to fix a leaking shower valve that causes water to drip even when the shower is off?"",
  ""How can I repair a toilet that keeps running after flushing and doesn\u2019t stop on its own?"",
  ""How can I fix a kitchen sink faucet that makes a loud screeching noise when I turn it on?""
]",What is the process to repair a leaking pipe joint under my kitchen sink that causes water to pool on the cabinet floor?,Leaking pipe joint under kitchen sink causing water pooling,"To repair a leaking pipe joint under your kitchen sink, first turn off the water supply. Then, loosen and remove the leaking joint with a wrench. Clean the threads and apply plumber's tape or pipe joint compound before reinstalling the joint and tightening it securely. Finally, turn the water supply back on and check for leaks.","[""Adjustable wrench"", ""Plumber's tape"", ""Pipe joint compound"", ""Bucket"", ""Rags""]","[""1. Turn off the water supply to the kitchen sink."", ""2. Place a bucket under the leaking pipe joint to catch any residual water."", ""3. Use the adjustable wrench to loosen and remove the leaking pipe joint."", ""4. Clean the pipe threads thoroughly to remove old sealant or debris."", ""5. Wrap plumber's tape clockwise around the male threads or apply pipe joint compound."", ""6. Reattach and tighten the pipe joint securely with the wrench."", ""7. Turn the water supply back on and inspect for any leaks."", ""8. Wipe down the area and dry any residual water.""]",Ensure the water supply is completely turned off before starting to avoid water damage and slipping hazards. Use caution when handling tools to prevent injury.,"[""Use plumber's tape to create a watertight seal on threaded pipes."", ""Do not overtighten the joint to avoid damaging the threads."", ""Keep a bucket and rags handy to manage water spills during repair.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,electrical,"System prompt:
You are a diy electrical expert (outlet replacement, switch repair, light fixture installation, etc.). Provide onlly repairs that can be safely performed by a home owner.

User prompt:
Return exactly one JSON object matching this shape:
{
  ""id"": 1,
  ""question"": ""string"",
  ""answer"": ""string"",
  ""equipment_problem"": ""string"",
  ""tools_required"": [
    ""string""
  ],
  ""steps"": [
    ""1. string"",
    ""2. string""
  ],
  ""safety_info"": ""string"",
  ""tips"": [
    ""string""
  ]
}

Requirements:
- Create realistic homeowner repair question/answer pairs that strictly follow the required schema.
- The question must be meaningfully different from earlier questions in this same category.
- The question must be a novel scenario and wording.
- steps must be ordered and numbered like '1. ...', '2. ...'
- tools_required and tips must be realistic and practical
- no markdown, no extra keys, no commentary

Do not repeat or closely paraphrase any of these prior questions:
[
  ""How do I replace a faulty light switch that doesn't turn the light on or off?"",
  ""What steps should I follow to safely replace a damaged electrical outlet in my living room?"",
  ""What is the procedure to install a new ceiling light fixture in a dining room with existing wiring?"",
  ""How can I fix a kitchen outlet that sparks when plugging in appliances?"",
  ""How can I troubleshoot and fix a bathroom outlet that has stopped working but other outlets in the room work fine?"",
  ""How do I safely install a dimmer switch to replace a standard light switch in my bedroom?""
]",How can I replace a burnt electrical outlet in my home office safely?,Burnt electrical outlet,"To replace a burnt electrical outlet, first turn off the power at the circuit breaker to ensure safety. Remove the outlet cover plate and unscrew the burnt outlet from the electrical box. Carefully disconnect the wires from the old outlet, noting their positions. Connect the wires to the new outlet, matching the wire colors to the correct terminals (typically black to brass, white to silver, and green or bare wire to the ground screw). Secure the new outlet in the box, replace the cover plate, and turn the power back on to test the outlet.","[""screwdriver"", ""voltage tester"", ""needle-nose pliers""]","[""1. Turn off the power at the circuit breaker for the outlet you will be working on."", ""2. Use a voltage tester to confirm that the power is off at the outlet."", ""3. Remove the outlet cover plate with a screwdriver."", ""4. Unscrew and gently pull out the burnt outlet from the electrical box."", ""5. Take note of how the wires are connected, then disconnect them from the outlet."", ""6. Connect the wires to the new outlet, matching the wire colors to the correct terminals (black to brass, white to silver, green or bare to ground)."", ""7. Secure the new outlet into the electrical box and replace the outlet cover plate."", ""8. Turn the circuit breaker back on and test the outlet with a device or voltage tester.""]",Always ensure the power is off at the breaker before touching any wiring or outlets. Use a voltage tester to verify no electricity is flowing to prevent electric shock.,"[""Label the wires before disconnecting if you are unsure of their positions."", ""If the outlet box is damaged or charred, consider consulting a professional electrician."", ""Use outlets with built-in surge protection for added safety and equipment protection.""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
